course_id,course_name,category,vendor,delivery_mode,duration_hours,difficulty_level,total_learners,total_completed,completion_rate_pct,total_passed,pass_rate_pct,avg_score_passed,avg_feedback_rating,avg_days_to_complete,avg_total_learning_days,total_trainers,_view_refreshed_ts
C1211_MS,Microsoft Power Apps Developer Lab 1,Digital,Microsoft,Self-paced,15,Intermediate,1,2,100,2,100,89,4.3,25,63,1,2026-06-10T12:53:30.404Z
C1261_MS,Cognitive Services Deep Dive Lab 1,AI,Microsoft,Instructor-led,28,Advanced,2,4,100,2,50,86,4.55,24.5,89.5,1,2026-06-10T12:53:30.404Z
C1432_CR,Enterprise Agile Frameworks Chapter 2,Digital,Coursera,Self-paced,20,Advanced,10,0,0,0,0,null,null,null,null,0,2026-06-10T12:53:30.404Z
C1013_DB,Introduction To Pyspark Module 3,Data,Databricks,Self-paced,4,Beginner,5,0,0,0,0,null,null,null,null,0,2026-06-10T12:53:30.404Z
C1302_CR,Healthcare Analytics Foundations Part 2,Domain,Coursera,Self-paced,5.5,Beginner,10,0,0,0,0,null,null,null,null,0,2026-06-10T12:53:30.404Z
C1221_MS,Azure Devops Pipelines Workshop 1,Digital,Microsoft,Self-paced,18,Intermediate,1,2,100,2,100,91,4.5,24,66,1,2026-06-10T12:53:30.404Z
C1252_MS,Azure Openai Integration Part 2,AI,Microsoft,Instructor-led,30,Advanced,10,0,0,0,0,null,null,null,null,0,2026-06-10T12:53:30.404Z
C1173_MS,Azure Data Factory Basics Lab 3,Data,Microsoft,Instructor-led,10,Beginner,4,0,0,0,0,null,null,null,null,0,2026-06-10T12:53:30.404Z
C1152_MS,Azure Data Fundamentals Dp-900 Part 2,Data,Microsoft,Instructor-led,8,Beginner,10,0,0,0,0,null,null,null,null,0,2026-06-10T12:53:30.404Z
C1411_CR,Full Stack Web Development Lab 1,Digital,Coursera,Self-paced,30,Advanced,1,2,100,2,100,88,4.7,26,72,1,2026-06-10T12:53:30.404Z
C1033_DB,Databricks Sql For Beginners Lab 3,Data,Databricks,Self-paced,2,Beginner,4,0,0,0,0,null,null,null,null,0,2026-06-10T12:53:30.404Z
C1311_CR,Retail Data Insights Module 1,Domain,Coursera,Self-paced,6,Beginner,1,2,100,2,100,90,4.5,25,81,1,2026-06-10T12:53:30.404Z
C1321_CR,Bfsi Risk Management Primer 1,Domain,Coursera,Self-paced,7.5,Beginner,1,2,100,2,100,79,4,24,135,1,2026-06-10T12:53:30.404Z
C1441_CR,Digital Transformation Strategy Workshop 1,Digital,Coursera,Self-paced,24,Advanced,1,2,100,2,100,82,4.1,26,76,1,2026-06-10T12:53:30.404Z
C1271_MS,Advanced Machine Learning On Azure 1,AI,Microsoft,Instructor-led,35,Advanced,1,2,100,2,100,92,4.9,25,59,1,2026-06-10T12:53:30.404Z
C1051_DB,Advanced Pyspark Techniques Part 1,Data,Databricks,Instructor-led,16,Intermediate,1,2,100,2,100,85,4.5,21,45,1,2026-06-10T12:53:30.404Z
