skill_id,employee_id,primary_skill,secondary_skill,skill_category,skill_combo,skills_declared,skills_verified,skill_readiness_status,is_declared,is_verified,verification_gap,_gold_created_ts,_gold_updated_ts
SK491,E10001,PySpark,Cloud Native,Data & Analytics,PySpark | Cloud Native,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK050,E10050,Azure,Terraform,Cloud & DevOps,Azure | Terraform,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK051,E10051,Cloud Native,Azure,Cloud & DevOps,Cloud Native | Azure,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK052,E10052,React,JavaScript,Programming,React | JavaScript,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK053,E10053,Java,Microservices,Programming,Java | Microservices,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK054,E10054,Power Apps,Automate,Visualization & BI,Power Apps | Automate,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK055,E10055,SAP,ABAP,Enterprise Apps,SAP | ABAP,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK056,E10056,Supply Chain,Domain Consulting,Domain / Industry,Supply Chain | Domain Consulting,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK057,E10057,Retail Insights,Analytics,Domain / Industry,Retail Insights | Analytics,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK058,E10058,PySpark,Databricks,Data & Analytics,PySpark | Databricks,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK060,E10060,Delta Lake,PySpark,Data & Analytics,Delta Lake | PySpark,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK061,E10061,Power BI,Data Modeling,Visualization & BI,Power BI | Data Modeling,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK062,E10062,Tableau,SQL,Visualization & BI,Tableau | SQL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK063,E10063,SQL,Python,Data & Analytics,SQL | Python,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK064,E10064,Data Science,Machine Learning,Data & Analytics,Data Science | Machine Learning,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK065,E10065,Python,R,Programming,Python | R,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK066,E10066,Azure,Cloud Architecture,Cloud & DevOps,Azure | Cloud Architecture,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK067,E10067,AWS,DevOps,Cloud & DevOps,AWS | DevOps,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK068,E10068,Java,Spring Boot,Programming,Java | Spring Boot,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK070,E10070,Salesforce,CRM,Enterprise Apps,Salesforce | CRM,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK071,E10071,Power Apps,SharePoint,Visualization & BI,Power Apps | SharePoint,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK072,E10072,Healthcare Analytics,SQL,Domain / Industry,Healthcare Analytics | SQL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK073,E10073,Supply Chain,Domain Consulting,Domain / Industry,Supply Chain | Domain Consulting,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK074,E10074,Databricks,PySpark,Data & Analytics,Databricks | PySpark,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK075,E10075,ETL,Azure,Data & Analytics,ETL | Azure,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK076,E10076,SQL,Data Engineering,Data & Analytics,SQL | Data Engineering,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK077,E10077,Power BI,DAX,Visualization & BI,Power BI | DAX,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK078,E10078,Tableau,Dashboarding,Visualization & BI,Tableau | Dashboarding,No,null,Not Declared,false,null,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK079,E10079,Python,Analytics,Programming,Python | Analytics,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK080,E10080,Machine Learning,Deep Learning,Data & Analytics,Machine Learning | Deep Learning,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK081,E10081,NLP,Python,Data & Analytics,NLP | Python,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK493,E10082,Azure,Cloud Architecture,Cloud & DevOps,Azure | Cloud Architecture,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK082,E10082,Azure,Cloud Native,Cloud & DevOps,Azure | Cloud Native,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK083,E10083,DevOps,CI/CD,Cloud & DevOps,DevOps | CI/CD,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK084,E10084,Full Stack,Java,Programming,Full Stack | Java,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK085,E10085,React,Node.js,Programming,React | Node.js,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK086,E10086,SAP,ERP,Enterprise Apps,SAP | ERP,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK087,E10087,Power Apps,Automate,Visualization & BI,Power Apps | Automate,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK088,E10088,Retail Insights,Domain Consulting,Domain / Industry,Retail Insights | Domain Consulting,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK090,E10090,PySpark,Delta Lake,Data & Analytics,PySpark | Delta Lake,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK091,E10091,Databricks,SQL,Data & Analytics,Databricks | SQL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK092,E10092,ETL,Python,Data & Analytics,ETL | Python,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK093,E10093,Power BI,SQL,Visualization & BI,Power BI | SQL,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK094,E10094,Tableau,Data Modeling,Visualization & BI,Tableau | Data Modeling,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK095,E10095,SQL,Excel,Data & Analytics,SQL | Excel,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK096,E10096,Machine Learning,R,Data & Analytics,Machine Learning | R,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK097,E10097,Python,Data Science,Programming,Python | Data Science,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK098,E10098,Azure,Terraform,Cloud & DevOps,Azure | Terraform,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK100,E10100,Java,Microservices,Programming,Java | Microservices,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK101,E10101,JavaScript,React,Programming,JavaScript | React,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK102,E10102,Salesforce,Apex,Enterprise Apps,Salesforce | Apex,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK103,E10103,Power Apps,SharePoint,Visualization & BI,Power Apps | SharePoint,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK104,E10104,Supply Chain,Analytics,Domain / Industry,Supply Chain | Analytics,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK105,E10105,Retail Insights,SQL,Domain / Industry,Retail Insights | SQL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK106,E10106,Databricks,PySpark,Data & Analytics,Databricks | PySpark,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK108,E10108,PySpark,SQL,Data & Analytics,PySpark | SQL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK109,E10109,Power BI,Tableau,Visualization & BI,Power BI | Tableau,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK110,E10110,SQL,Analytics,Data & Analytics,SQL | Analytics,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK111,E10111,Python,SQL,Programming,Python | SQL,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK112,E10112,Machine Learning,Python,Data & Analytics,Machine Learning | Python,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK113,E10113,Deep Learning,NLP,Data & Analytics,Deep Learning | NLP,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK114,E10114,Azure,Cloud Architecture,Cloud & DevOps,Azure | Cloud Architecture,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK115,E10115,Cloud Native,Azure,Cloud & DevOps,Cloud Native | Azure,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK116,E10116,React,Node.js,Programming,React | Node.js,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK118,E10118,SAP,ABAP,Enterprise Apps,SAP | ABAP,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK119,E10119,Power Apps,Automate,Visualization & BI,Power Apps | Automate,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK120,E10120,Healthcare Analytics,Domain Consulting,Domain / Industry,Healthcare Analytics | Domain Consulting,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK121,E10121,Supply Chain,Analytics,Domain / Industry,Supply Chain | Analytics,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK122,E10122,Databricks,PySpark,Data & Analytics,Databricks | PySpark,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK123,E10123,ETL,SQL,Data & Analytics,ETL | SQL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK124,E10124,SQL,Data Engineering,Data & Analytics,SQL | Data Engineering,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK125,E10125,Power BI,DAX,Visualization & BI,Power BI | DAX,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK126,E10126,Tableau,Dashboarding,Visualization & BI,Tableau | Dashboarding,No,null,Not Declared,false,null,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK127,E10127,Python,Analytics,Programming,Python | Analytics,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK128,E10128,Machine Learning,Data Science,Data & Analytics,Machine Learning | Data Science,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK129,E10129,Python,R,Programming,Python | R,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK130,E10130,Azure,DevOps,Cloud & DevOps,Azure | DevOps,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK131,E10131,AWS,Cloud Architecture,Cloud & DevOps,AWS | Cloud Architecture,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK132,E10132,Full Stack,Java,Programming,Full Stack | Java,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK133,E10133,JavaScript,React,Programming,JavaScript | React,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK134,E10134,Salesforce,CRM,Enterprise Apps,Salesforce | CRM,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK135,E10135,Power Apps,SharePoint,Visualization & BI,Power Apps | SharePoint,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK136,E10136,Retail Insights,Domain Consulting,Domain / Industry,Retail Insights | Domain Consulting,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK138,E10138,PySpark,Databricks,Data & Analytics,PySpark | Databricks,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK139,E10139,Databricks,ETL,Data & Analytics,Databricks | ETL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK140,E10140,ETL,Python,Data & Analytics,ETL | Python,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK141,E10141,Power BI,Data Modeling,Visualization & BI,Power BI | Data Modeling,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK142,E10142,Tableau,SQL,Visualization & BI,Tableau | SQL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK143,E10143,SQL,Excel,Data & Analytics,SQL | Excel,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK144,E10144,Machine Learning,Python,Data & Analytics,Machine Learning | Python,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK145,E10145,NLP,Deep Learning,Data & Analytics,NLP | Deep Learning,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK146,E10146,Azure,Terraform,Cloud & DevOps,Azure | Terraform,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK148,E10148,Java,Microservices,Programming,Java | Microservices,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK149,E10149,React,JavaScript,Programming,React | JavaScript,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK150,E10150,Salesforce,Apex,Enterprise Apps,Salesforce | Apex,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK151,E10151,Power Apps,SharePoint,Visualization & BI,Power Apps | SharePoint,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK152,E10152,Supply Chain,Analytics,Domain / Industry,Supply Chain | Analytics,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK153,E10153,Retail Insights,SQL,Domain / Industry,Retail Insights | SQL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK154,E10154,Databricks,PySpark,Data & Analytics,Databricks | PySpark,Yes,No,Declared Not Verified,true,false,Yes,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK156,E10156,PySpark,SQL,Data & Analytics,PySpark | SQL,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK157,E10157,Power BI,Tableau,Visualization & BI,Power BI | Tableau,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK158,E10158,SQL,Analytics,Data & Analytics,SQL | Analytics,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK159,E10159,Python,SQL,Programming,Python | SQL,No,No,Not Declared,false,false,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK160,E10160,Machine Learning,Python,Data & Analytics,Machine Learning | Python,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
SK161,E10161,Deep Learning,NLP,Data & Analytics,Deep Learning | NLP,Yes,Yes,Fully Ready,true,true,No,2026-06-09T17:53:07.007Z,2026-06-10T12:08:46.518Z
