employee_id,course_id,learning_id,course_request_id,approval_status,completion_status,is_passed,course_domain,request_date,approval_date,enrollment_date,start_date,completion_date,score,passing_score,score_gap,days_to_approve,days_to_enroll,days_to_start,days_to_complete,total_learning_days,is_completed,score_band,feedback_id,feedback_rating,feedback_recommended,has_text_feedback,feedback_text_length,feedback_rating_band,trainer_name,feedback_date,feedback_year,feedback_month,feedback_quarter,_gold_created_ts,_gold_updated_ts
E10012,C1031_DB,LRN1012,REQ5012,Approved,Completed,true,Data & BI,2024-02-10,2024-02-12,2024-02-15,2024-03-01,2024-03-20,91,75,16,2,3,15,19,39,true,Excellent,FB182,4.6,true,true,9,Excellent,Dr. Aris,2024-03-21,2024,3,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10013,C1001_DB,LRN1013,REQ5013,Approved,Completed,true,Data & BI,2024-02-15,2024-02-16,2024-02-18,2024-03-05,2024-03-25,87,70,17,1,2,16,20,39,true,Good,FB183,4.2,true,true,20,High,Dr. Aris,2024-03-26,2024,3,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10014,C1041_DB,LRN1014,REQ5014,Approved,Completed,true,Data & BI,2024-02-18,2024-02-19,2024-02-20,2024-03-10,2024-03-30,79,75,4,1,1,19,20,41,true,Good,FB184,4,true,true,17,High,Dr. Aris,2024-03-31,2024,3,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10015,C1051_DB,LRN1015,REQ5015,Approved,Completed,true,Data & BI,2024-02-20,2024-02-21,2024-02-25,2024-03-15,2024-04-05,85,80,5,1,4,19,21,45,true,Good,FB185,4.5,true,true,16,High,Prof. Miller,2024-04-06,2024,4,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10016,C1151_MS,LRN1016,REQ5016,Approved,Completed,true,Microsoft / Office,2024-02-22,2024-02-23,2024-02-26,2024-03-20,2024-04-10,93,80,13,1,3,23,21,48,true,Excellent,FB186,4.2,true,true,10,High,Azure Expert A,2024-04-11,2024,4,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10017,C1171_MS,LRN1017,REQ5017,Approved,Completed,true,Microsoft / Office,2024-02-25,2024-02-26,2024-02-28,2024-03-25,2024-04-15,88,75,13,1,2,26,21,50,true,Good,FB187,4.3,true,true,11,High,Azure Expert B,2024-04-16,2024,4,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10018,C1191_MS,LRN1018,REQ5018,Approved,Completed,true,Microsoft / Office,2024-03-01,2024-03-02,2024-03-05,2024-03-30,2024-04-20,77,70,7,1,3,25,21,50,true,Good,FB188,3.7,true,true,7,Medium,Azure Expert A,2024-04-21,2024,4,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10019,C1161_MS,LRN1019,REQ5019,Approved,Completed,true,Microsoft / Office,2024-03-05,2024-03-06,2024-03-08,2024-04-01,2024-04-25,94,75,19,1,2,24,24,51,true,Excellent,FB189,4.6,true,true,13,Excellent,Azure Expert B,2024-04-26,2024,4,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10020,C1251_MS,LRN1020,REQ5020,Approved,Completed,true,Microsoft / Office,2024-03-08,2024-03-10,2024-03-12,2024-04-05,2024-04-30,83,80,3,2,2,24,25,53,true,Good,FB190,4.8,true,true,14,Excellent,Azure Expert A,2024-05-01,2024,5,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10021,C1261_MS,LRN1021,REQ5021,Approved,Completed,true,Microsoft / Office,2024-03-10,2024-03-11,2024-03-15,2024-04-10,2024-05-05,86,80,6,1,4,26,25,56,true,Good,FB191,4.4,true,true,12,High,Azure Expert B,2024-05-06,2024,5,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10022,C1271_MS,LRN1022,REQ5022,Approved,Completed,true,Microsoft / Office,2024-03-12,2024-03-14,2024-03-18,2024-04-15,2024-05-10,92,80,12,2,4,28,25,59,true,Excellent,FB192,4.9,true,true,18,Excellent,Azure Expert A,2024-05-11,2024,5,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10023,C1201_MS,LRN1023,REQ5023,Approved,Completed,true,Microsoft / Office,2024-03-15,2024-03-16,2024-03-20,2024-04-20,2024-05-15,80,75,5,1,4,31,25,61,true,Good,FB193,4.2,true,true,13,High,Azure Expert B,2024-05-16,2024,5,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10024,C1211_MS,LRN1024,REQ5024,Approved,Completed,true,Microsoft / Office,2024-03-18,2024-03-19,2024-03-22,2024-04-25,2024-05-20,89,75,14,1,3,34,25,63,true,Good,FB194,4.3,true,true,9,High,Azure Expert A,2024-05-21,2024,5,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10025,C1221_MS,LRN1025,REQ5025,Approved,Completed,true,Microsoft / Office,2024-03-20,2024-03-21,2024-03-25,2024-05-01,2024-05-25,91,80,11,1,4,37,24,66,true,Excellent,FB195,4.5,true,true,11,High,Azure Expert B,2024-05-26,2024,5,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10026,C1401_CR,LRN1026,REQ5026,Approved,Completed,true,Core / Compliance,2024-03-22,2024-03-23,2024-03-28,2024-05-05,2024-05-30,84,70,14,1,5,38,25,69,true,Good,FB196,3.9,true,true,8,Medium,Coursera Lead,2024-05-31,2024,5,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10027,C1411_CR,LRN1027,REQ5027,Approved,Completed,true,Core / Compliance,2024-03-25,2024-03-26,2024-03-30,2024-05-10,2024-06-05,88,75,13,1,4,41,26,72,true,Good,FB197,4.7,true,true,14,Excellent,Coursera Lead,2024-06-06,2024,6,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10028,C1421_CR,LRN1028,REQ5028,Approved,Completed,true,Core / Compliance,2024-03-28,2024-03-29,2024-04-01,2024-05-15,2024-06-10,79,75,4,1,3,44,26,74,true,Good,FB198,4,true,true,8,High,Coursera Lead,2024-06-11,2024,6,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10029,C1431_CR,LRN1029,REQ5029,Approved,Completed,true,Core / Compliance,2024-04-01,2024-04-02,2024-04-05,2024-05-20,2024-06-15,95,80,15,1,3,45,26,75,true,Excellent,FB199,4.6,true,true,10,Excellent,Coursera Lead,2024-06-16,2024,6,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10030,C1441_CR,LRN1030,REQ5030,Approved,Completed,true,Core / Compliance,2024-04-05,2024-04-06,2024-04-10,2024-05-25,2024-06-20,82,75,7,1,4,45,26,76,true,Good,FB200,4.1,true,true,6,High,Coursera Lead,2024-06-21,2024,6,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10031,C1301_CR,LRN1031,REQ5031,Approved,Completed,true,Core / Compliance,2024-04-08,2024-04-09,2024-04-12,2024-06-01,2024-06-25,87,70,17,1,3,50,24,78,true,Good,FB201,4.3,true,true,8,High,Coursera Expert,2024-06-26,2024,6,2,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10032,C1311_CR,LRN1032,REQ5032,Approved,Completed,true,Core / Compliance,2024-04-10,2024-04-11,2024-04-15,2024-06-05,2024-06-30,90,75,15,1,4,51,25,81,true,Excellent,FB202,4.5,true,true,18,High,Coursera Expert,2024-07-01,2024,7,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10033,C1001_DB,LRN1033,REQ5033,Approved,Completed,true,Data & BI,2024-04-12,2024-04-14,2024-04-18,2024-06-10,2024-07-05,85,70,15,2,4,53,25,84,true,Good,FB203,4.2,true,true,11,High,Dr. Aris,2024-07-06,2024,7,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10034,C1021_DB,LRN1034,REQ5034,Approved,Completed,true,Data & BI,2024-04-15,2024-04-16,2024-04-20,2024-06-15,2024-07-10,81,70,11,1,4,56,25,86,true,Good,FB204,4,true,true,10,High,Dr. Aris,2024-07-11,2024,7,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10035,C1031_DB,LRN1035,REQ5035,Approved,Completed,true,Data & BI,2024-04-18,2024-04-20,2024-04-22,2024-06-20,2024-07-15,93,75,18,2,2,59,25,88,true,Excellent,FB205,4.6,true,true,8,Excellent,Dr. Aris,2024-07-16,2024,7,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10036,C1151_MS,LRN1036,REQ5036,Approved,Completed,true,Microsoft / Office,2024-04-20,2024-04-21,2024-04-25,2024-06-25,2024-07-20,88,80,8,1,4,61,25,91,true,Good,FB206,4.3,true,true,17,High,Azure Expert A,2024-07-21,2024,7,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10037,C1161_MS,LRN1037,REQ5037,Approved,Completed,true,Microsoft / Office,2024-04-22,2024-04-24,2024-04-28,2024-07-01,2024-07-25,76,75,1,2,4,64,24,94,true,Good,FB207,4.1,true,true,13,High,Azure Expert B,2024-07-26,2024,7,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10038,C1251_MS,LRN1038,REQ5038,Approved,Completed,true,Microsoft / Office,2024-04-25,2024-04-26,2024-04-30,2024-07-05,2024-07-30,89,80,9,1,4,66,25,96,true,Good,FB208,4.8,true,true,11,Excellent,Azure Expert A,2024-07-31,2024,7,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10039,C1201_MS,LRN1039,REQ5039,Approved,Completed,true,Microsoft / Office,2024-04-28,2024-04-29,2024-05-01,2024-07-10,2024-08-05,94,70,24,1,2,70,26,99,true,Excellent,FB209,4.2,true,true,9,High,Azure Expert B,2024-08-06,2024,8,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10040,C1401_CR,LRN1040,REQ5040,Approved,Completed,true,Core / Compliance,2024-05-01,2024-05-02,2024-05-05,2024-07-15,2024-08-10,83,70,13,1,3,71,26,101,true,Good,FB210,3.8,true,true,18,Medium,Coursera Lead,2024-08-11,2024,8,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10041,C1431_CR,LRN1041,REQ5041,Approved,Completed,true,Core / Compliance,2024-05-05,2024-05-06,2024-05-10,2024-07-20,2024-08-15,86,75,11,1,4,71,26,102,true,Good,FB211,4.5,true,true,15,High,Coursera Lead,2024-08-16,2024,8,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10042,C1301_CR,LRN1042,REQ5042,Approved,Completed,true,Core / Compliance,2024-05-08,2024-05-09,2024-05-12,2024-07-25,2024-08-20,92,70,22,1,3,74,26,104,true,Excellent,FB212,4.3,true,true,9,High,Coursera Expert,2024-08-21,2024,8,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10043,C1001_DB,LRN1043,REQ5043,Approved,Completed,true,Data & BI,2024-05-10,2024-05-11,2024-05-15,2024-08-01,2024-08-25,78,70,8,1,4,78,24,107,true,Good,FB213,4.4,true,true,13,High,Dr. Aris,2024-08-26,2024,8,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10044,C1011_DB,LRN1044,REQ5044,Approved,Completed,true,Data & BI,2024-05-12,2024-05-14,2024-05-18,2024-08-05,2024-08-30,85,75,10,2,4,79,25,110,true,Good,FB214,4.1,true,true,9,High,Prof. Miller,2024-08-31,2024,8,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10045,C1021_DB,LRN1045,REQ5045,Approved,Completed,true,Data & BI,2024-05-15,2024-05-16,2024-05-20,2024-08-10,2024-09-05,90,70,20,1,4,82,26,113,true,Excellent,FB215,4.2,true,true,12,High,Dr. Aris,2024-09-06,2024,9,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10046,C1151_MS,LRN1046,REQ5046,Approved,Completed,true,Microsoft / Office,2024-05-18,2024-05-19,2024-05-22,2024-08-15,2024-09-10,81,80,1,1,3,85,26,115,true,Good,FB216,4.3,true,true,5,High,Azure Expert A,2024-09-11,2024,9,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10047,C1171_MS,LRN1047,REQ5047,Approved,Completed,true,Microsoft / Office,2024-05-20,2024-05-22,2024-05-25,2024-08-20,2024-09-15,88,75,13,2,3,87,26,118,true,Good,FB217,4.1,true,true,7,High,Azure Expert B,2024-09-16,2024,9,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10048,C1251_MS,LRN1048,REQ5048,Approved,Completed,true,Microsoft / Office,2024-05-22,2024-05-23,2024-05-28,2024-08-25,2024-09-20,93,80,13,1,5,89,26,121,true,Excellent,FB218,4.9,true,true,10,Excellent,Azure Expert A,2024-09-21,2024,9,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10049,C1261_MS,LRN1049,REQ5049,Approved,Completed,false,Microsoft / Office,2024-05-25,2024-05-26,2024-05-30,2024-09-01,2024-09-25,77,80,-3,1,4,94,24,123,true,Good,FB219,4.7,true,true,10,Excellent,Azure Expert B,2024-09-26,2024,9,3,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10050,C1201_MS,LRN1050,REQ5050,Approved,Completed,true,Microsoft / Office,2024-05-28,2024-05-29,2024-06-01,2024-09-05,2024-09-30,89,75,14,1,3,96,25,125,true,Good,FB220,4.2,true,true,12,High,Azure Expert A,2024-10-01,2024,10,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10051,C1401_CR,LRN1051,REQ5051,Approved,Completed,true,Core / Compliance,2024-06-01,2024-06-02,2024-06-05,2024-09-10,2024-10-05,84,70,14,1,3,97,25,126,true,Good,FB221,3.5,false,true,4,Medium,Coursera Lead,2024-10-06,2024,10,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10052,C1421_CR,LRN1052,REQ5052,Approved,Completed,true,Core / Compliance,2024-06-05,2024-06-06,2024-06-10,2024-09-15,2024-10-10,91,75,16,1,4,97,25,127,true,Excellent,FB222,4.6,true,true,7,Excellent,Coursera Lead,2024-10-11,2024,10,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10053,C1431_CR,LRN1053,REQ5053,Approved,Completed,true,Core / Compliance,2024-06-08,2024-06-09,2024-06-12,2024-09-20,2024-10-15,82,80,2,1,3,100,25,129,true,Good,FB223,4.4,true,true,14,High,Coursera Lead,2024-10-16,2024,10,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10054,C1301_CR,LRN1054,REQ5054,Approved,Completed,true,Core / Compliance,2024-06-10,2024-06-11,2024-06-15,2024-09-25,2024-10-20,87,70,17,1,4,102,25,132,true,Good,FB224,4.2,true,true,7,High,Coursera Expert,2024-10-21,2024,10,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10055,C1321_CR,LRN1055,REQ5055,Approved,Completed,true,Core / Compliance,2024-06-12,2024-06-14,2024-06-18,2024-10-01,2024-10-25,79,75,4,2,4,105,24,135,true,Good,FB225,4,true,true,12,High,Coursera Expert,2024-10-26,2024,10,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10056,C1001_DB,LRN1056,REQ5056,Approved,Completed,true,Data & BI,2024-06-15,2024-06-16,2024-06-20,2024-10-05,2024-10-30,95,70,25,1,4,107,25,137,true,Excellent,FB226,4.5,true,true,10,High,Dr. Aris,2024-10-31,2024,10,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10057,C1021_DB,LRN1057,REQ5057,Approved,Completed,true,Data & BI,2024-06-18,2024-06-19,2024-06-22,2024-10-10,2024-11-05,83,70,13,1,3,110,26,140,true,Good,FB227,4.2,true,true,13,High,Dr. Aris,2024-11-06,2024,11,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10058,C1041_DB,LRN1058,REQ5058,Approved,Completed,true,Data & BI,2024-06-20,2024-06-22,2024-06-25,2024-10-15,2024-11-10,88,75,13,2,3,112,26,143,true,Good,FB228,4.4,true,true,11,High,Dr. Aris,2024-11-11,2024,11,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10059,C1151_MS,LRN1059,REQ5059,Approved,Completed,true,Microsoft / Office,2024-06-22,2024-06-23,2024-06-28,2024-10-20,2024-11-15,92,80,12,1,5,114,26,146,true,Excellent,FB229,4.3,true,true,6,High,Azure Expert A,2024-11-16,2024,11,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10060,C1161_MS,LRN1060,REQ5060,Approved,Completed,true,Microsoft / Office,2024-06-25,2024-06-26,2024-06-30,2024-10-25,2024-11-20,78,75,3,1,4,117,26,148,true,Good,FB230,4.1,true,true,7,High,Azure Expert B,2024-11-21,2024,11,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10061,C1251_MS,LRN1061,REQ5061,Approved,Completed,true,Microsoft / Office,2024-06-28,2024-06-29,2024-07-01,2024-11-01,2024-11-25,85,80,5,1,2,123,24,150,true,Good,FB231,4.7,true,true,13,Excellent,Azure Expert A,2024-11-26,2024,11,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10062,C1201_MS,LRN1062,REQ5062,Approved,Completed,true,Microsoft / Office,2024-07-01,2024-07-02,2024-07-05,2024-11-05,2024-11-30,90,75,15,1,3,123,25,152,true,Excellent,FB232,4.2,true,true,5,High,Azure Expert B,2024-12-01,2024,12,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10063,C1401_CR,LRN1063,REQ5063,Approved,Completed,true,Core / Compliance,2024-07-05,2024-07-06,2024-07-10,2024-11-10,2024-12-05,81,70,11,1,4,123,25,153,true,Good,FB233,3.9,true,true,5,Medium,Coursera Lead,2024-12-06,2024,12,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10064,C1431_CR,LRN1064,REQ5064,Approved,Completed,true,Core / Compliance,2024-07-08,2024-07-09,2024-07-12,2024-11-15,2024-12-10,88,75,13,1,3,126,25,155,true,Good,FB234,4.5,true,true,7,High,Coursera Lead,2024-12-11,2024,12,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10065,C1301_CR,LRN1065,REQ5065,Approved,Completed,true,Core / Compliance,2024-07-10,2024-07-11,2024-07-15,2024-11-20,2024-12-15,93,70,23,1,4,128,25,158,true,Excellent,FB235,4.2,true,true,13,High,Coursera Expert,2024-12-16,2024,12,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10066,C1001_DB,LRN1066,REQ5066,Approved,Completed,true,Data & BI,2024-07-12,2024-07-14,2024-07-18,2024-11-25,2024-12-20,77,70,7,2,4,130,25,161,true,Good,FB236,4.5,true,true,11,High,Dr. Aris,2024-12-21,2024,12,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10067,C1011_DB,LRN1067,REQ5067,Approved,Completed,true,Data & BI,2024-07-15,2024-07-16,2024-07-20,2024-12-01,2024-12-25,89,75,14,1,4,134,24,163,true,Good,FB237,4.3,true,true,6,High,Prof. Miller,2024-12-26,2024,12,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10068,C1021_DB,LRN1068,REQ5068,Approved,Completed,true,Data & BI,2024-07-18,2024-07-19,2024-07-22,2024-12-05,2024-12-30,84,70,14,1,3,136,25,165,true,Good,FB238,4.4,true,true,10,High,Dr. Aris,2024-12-31,2024,12,4,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10069,C1151_MS,LRN1069,REQ5069,Approved,Completed,true,Microsoft / Office,2024-07-20,2024-07-22,2024-07-25,2024-12-10,2025-01-05,91,80,11,2,3,138,26,169,true,Excellent,FB239,4.2,true,true,12,High,Azure Expert A,2025-01-06,2025,1,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10070,C1171_MS,LRN1070,REQ5070,Approved,Completed,true,Microsoft / Office,2024-07-22,2024-07-23,2024-07-28,2024-12-15,2025-01-10,82,75,7,1,5,140,26,172,true,Good,FB240,4.1,true,true,8,High,Azure Expert B,2025-01-11,2025,1,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10071,C1251_MS,LRN1071,REQ5071,Approved,Completed,true,Microsoft / Office,2024-07-25,2024-07-26,2024-07-30,2024-12-20,2025-01-15,87,80,7,1,4,143,26,174,true,Good,FB241,4.8,true,true,9,Excellent,Azure Expert A,2025-01-16,2025,1,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10072,C1201_MS,LRN1072,REQ5072,Approved,Completed,true,Microsoft / Office,2024-07-28,2024-07-29,2024-08-01,2024-12-25,2025-01-20,95,75,20,1,3,146,26,176,true,Excellent,FB242,4.2,true,true,10,High,Azure Expert B,2025-01-21,2025,1,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10073,C1401_CR,LRN1073,REQ5073,Approved,Completed,true,Core / Compliance,2024-08-01,2024-08-02,2024-08-05,2025-01-05,2025-01-25,79,70,9,1,3,153,20,177,true,Good,FB243,4,true,true,15,High,Coursera Lead,2025-01-26,2025,1,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10074,C1431_CR,LRN1074,REQ5074,Approved,Completed,true,Core / Compliance,2024-08-05,2024-08-06,2024-08-10,2025-01-10,2025-01-30,85,75,10,1,4,153,20,178,true,Good,FB244,4.6,true,true,6,Excellent,Coursera Lead,2025-01-31,2025,1,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10075,C1301_CR,LRN1075,REQ5075,Approved,Completed,true,Core / Compliance,2024-08-08,2024-08-09,2024-08-12,2025-01-15,2025-02-05,90,70,20,1,3,156,21,181,true,Excellent,FB245,4.2,true,true,8,High,Coursera Expert,2025-02-06,2025,2,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10076,C1001_DB,LRN1076,REQ5076,Approved,Completed,true,Data & BI,2024-08-10,2024-08-11,2024-08-15,2025-01-20,2025-02-10,81,70,11,1,4,158,21,184,true,Good,FB246,4.4,true,true,5,High,Dr. Aris,2025-02-11,2025,2,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10077,C1021_DB,LRN1077,REQ5077,Approved,Completed,true,Data & BI,2024-08-12,2024-08-14,2024-08-18,2025-01-25,2025-02-15,88,70,18,2,4,160,21,187,true,Good,FB247,4.3,true,true,6,High,Dr. Aris,2025-02-16,2025,2,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10078,C1031_DB,LRN1078,REQ5078,Approved,Completed,true,Data & BI,2024-08-15,2024-08-16,2024-08-20,2025-02-01,2025-02-20,93,75,18,1,4,165,19,189,true,Excellent,FB248,4.1,true,true,8,High,Dr. Aris,2025-02-21,2025,2,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
E10079,C1151_MS,LRN1079,REQ5079,Approved,Completed,false,Microsoft / Office,2024-08-18,2024-08-19,2024-08-22,2025-02-05,2025-02-25,76,80,-4,1,3,167,20,191,true,Good,FB249,4.2,true,true,6,High,Azure Expert A,2025-02-26,2025,2,1,2026-06-09T17:53:16.588Z,2026-06-10T12:08:57.878Z
