certification_id,employee_id,course_id,certification_name,vendor,certificate_uploaded,certificate_status,upload_date,verification_date,days_to_verify,upload_month,is_verified,_gold_created_ts,_gold_updated_ts
CERT006,E10006,C1251_MS,Azure OpenAI Architect Certification,Microsoft,Yes,Verified,22-02-2024,25-02-2024,3,2024-02,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT007,E10007,C1201_MS,Azure Cloud Administration Certification,Microsoft,Yes,Verified,26-02-2024,01-03-2024,4,2024-02,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT307,E10007,C1402_CR,Cloud Native Architecture Certificate,Coursera,Yes,Verified,18-06-2024,20-06-2024,2,2024-06,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT008,E10008,C1401_CR,Cloud Native Architecture Certificate,Coursera,No,Pending,null,null,null,null,FALSE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT308,E10008,C1432_CR,Enterprise Agile Frameworks Certificate,Coursera,Yes,Verified,22-06-2024,25-06-2024,3,2024-06,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT309,E10009,C1302_CR,Healthcare Analytics Certificate,Coursera,Yes,Verified,28-06-2024,30-06-2024,2,2024-06,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT009,E10009,C1431_CR,Enterprise Agile Frameworks Certificate,Coursera,Yes,Verified,08-03-2024,10-03-2024,2,2024-03,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT310,E10010,C1002_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,02-07-2024,05-07-2024,3,2024-07,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT010,E10010,C1301_CR,Healthcare Analytics Certificate,Coursera,Yes,Verified,12-03-2024,15-03-2024,3,2024-03,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT011,E10011,C1021_DB,Delta Lake Core Certification,Databricks,Yes,Verified,18-03-2024,20-03-2024,2,2024-03,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT311,E10011,C1022_DB,Delta Lake Core Certification,Databricks,Yes,Verified,05-07-2024,08-07-2024,3,2024-07,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT012,E10012,C1031_DB,Databricks SQL Certification,Databricks,Yes,Verified,22-03-2024,25-03-2024,3,2024-03,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT312,E10012,C1032_DB,Databricks SQL Certification,Databricks,Yes,Verified,08-07-2024,10-07-2024,2,2024-07,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT013,E10013,C1001_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,28-03-2024,02-04-2024,5,2024-03,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT313,E10013,C1152_MS,Azure Data Fundamentals DP-900,Microsoft,No,Pending,null,null,null,null,FALSE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT414,E10014,C1041_DB,Data Engineering on Databricks Certification,Databricks,Yes,Verified,02-04-2024,05-04-2024,3,2024-04,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT314,E10014,C1162_MS,Azure Synapse Analytics Certification,Microsoft,Yes,Verified,18-07-2024,20-07-2024,2,2024-07,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT015,E10015,C1051_DB,Advanced PySpark Certification,Databricks,Yes,Verified,08-04-2024,10-04-2024,2,2024-04,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT315,E10015,C1252_MS,Azure OpenAI Architect Certification,Microsoft,Yes,Verified,22-07-2024,25-07-2024,3,2024-07,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT016,E10016,C1151_MS,Azure Data Fundamentals DP-900,Microsoft,Yes,Verified,12-04-2024,15-04-2024,3,2024-04,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT316,E10016,C1202_MS,Azure Cloud Administration Certification,Microsoft,Yes,Verified,28-07-2024,30-07-2024,2,2024-07,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT017,E10017,C1171_MS,Azure Data Factory Certification,Microsoft,Yes,Verified,18-04-2024,20-04-2024,2,2024-04,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT317,E10017,C1402_CR,Cloud Native Architecture Certificate,Coursera,Yes,Verified,02-08-2024,05-08-2024,3,2024-08,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT418,E10018,C1191_MS,Power BI Integration Certification,Microsoft,Yes,Verified,22-04-2024,25-04-2024,3,2024-04,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT318,E10018,C1432_CR,Enterprise Agile Frameworks Certificate,Coursera,Yes,Verified,05-08-2024,08-08-2024,3,2024-08,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT019,E10019,C1161_MS,Azure Synapse Analytics Certification,Microsoft,Yes,Verified,28-04-2024,30-04-2024,2,2024-04,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT319,E10019,C1302_CR,Healthcare Analytics Certificate,Coursera,Yes,Verified,08-08-2024,10-08-2024,2,2024-08,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT320,E10020,C1002_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,12-08-2024,15-08-2024,3,2024-08,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT020,E10020,C1251_MS,Azure OpenAI Architect Certification,Microsoft,Yes,Verified,02-05-2024,05-05-2024,3,2024-05,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT321,E10021,C1012_DB,PySpark Basic Certification,Databricks,No,Pending,null,null,null,null,FALSE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT021,E10021,C1261_MS,Cognitive Services Certification,Microsoft,Yes,Verified,08-05-2024,10-05-2024,2,2024-05,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT322,E10022,C1022_DB,Delta Lake Core Certification,Databricks,Yes,Verified,22-08-2024,25-08-2024,3,2024-08,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT022,E10022,C1271_MS,Advanced Machine Learning Azure Certification,Microsoft,Yes,Verified,12-05-2024,15-05-2024,3,2024-05,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT323,E10023,C1152_MS,Azure Data Fundamentals DP-900,Microsoft,Yes,Verified,28-08-2024,30-08-2024,2,2024-08,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT423,E10023,C1201_MS,Azure Cloud Administration Certification,Microsoft,Yes,Verified,18-05-2024,20-05-2024,2,2024-05,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT324,E10024,C1172_MS,Azure Data Factory Certification,Microsoft,Yes,Verified,02-09-2024,05-09-2024,3,2024-09,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT024,E10024,C1211_MS,Microsoft Power Apps Developer Certification,Microsoft,Yes,Verified,22-05-2024,25-05-2024,3,2024-05,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT025,E10025,C1221_MS,Azure DevOps Pipelines Certification,Microsoft,Yes,Verified,28-05-2024,30-05-2024,2,2024-05,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT325,E10025,C1252_MS,Azure OpenAI Architect Certification,Microsoft,Yes,Verified,05-09-2024,08-09-2024,3,2024-09,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT326,E10026,C1202_MS,Azure Cloud Administration Certification,Microsoft,Yes,Verified,08-09-2024,10-09-2024,2,2024-09,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT026,E10026,C1401_CR,Cloud Native Architecture Certificate,Coursera,Yes,Verified,02-06-2024,05-06-2024,3,2024-06,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT327,E10027,C1402_CR,Cloud Native Architecture Certificate,Coursera,Yes,Verified,12-09-2024,15-09-2024,3,2024-09,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT027,E10027,C1411_CR,Full Stack Web Development Certificate,Coursera,Yes,Verified,08-06-2024,10-06-2024,2,2024-06,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT428,E10028,C1421_CR,Cybersecurity Advanced Certificate,Coursera,Yes,Verified,12-06-2024,15-06-2024,3,2024-06,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT328,E10028,C1432_CR,Enterprise Agile Frameworks Certificate,Coursera,Yes,Verified,18-09-2024,20-09-2024,2,2024-09,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT329,E10029,C1302_CR,Healthcare Analytics Certificate,Coursera,No,Pending,null,null,null,null,FALSE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT029,E10029,C1431_CR,Enterprise Agile Frameworks Certificate,Coursera,Yes,Verified,18-06-2024,20-06-2024,2,2024-06,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT330,E10030,C1002_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,28-09-2024,30-09-2024,2,2024-09,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT030,E10030,C1441_CR,Digital Transformation Strategy Certificate,Coursera,Yes,Verified,22-06-2024,25-06-2024,3,2024-06,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT331,E10031,C1022_DB,Delta Lake Core Certification,Databricks,Yes,Verified,02-10-2024,05-10-2024,3,2024-10,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT031,E10031,C1301_CR,Healthcare Analytics Certificate,Coursera,Yes,Verified,28-06-2024,30-06-2024,2,2024-06,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT332,E10032,C1032_DB,Databricks SQL Certification,Databricks,Yes,Verified,05-10-2024,08-10-2024,3,2024-10,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT032,E10032,C1311_CR,Retail Data Insights Certificate,Coursera,Yes,Verified,02-07-2024,05-07-2024,3,2024-07,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT033,E10033,C1001_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,08-07-2024,10-07-2024,2,2024-07,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT333,E10033,C1152_MS,Azure Data Fundamentals DP-900,Microsoft,Yes,Verified,08-10-2024,10-10-2024,2,2024-10,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT434,E10034,C1021_DB,Delta Lake Core Certification,Databricks,Yes,Verified,12-07-2024,15-07-2024,3,2024-07,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT334,E10034,C1162_MS,Azure Synapse Analytics Certification,Microsoft,Yes,Verified,12-10-2024,15-10-2024,3,2024-10,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT035,E10035,C1031_DB,Databricks SQL Certification,Databricks,Yes,Verified,18-07-2024,20-07-2024,2,2024-07,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT335,E10035,C1252_MS,Azure OpenAI Architect Certification,Microsoft,Yes,Verified,18-10-2024,20-10-2024,2,2024-10,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT036,E10036,C1151_MS,Azure Data Fundamentals DP-900,Microsoft,Yes,Verified,22-07-2024,25-07-2024,3,2024-07,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT336,E10036,C1202_MS,Azure Cloud Administration Certification,Microsoft,Yes,Verified,22-10-2024,25-10-2024,3,2024-10,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT037,E10037,C1161_MS,Azure Synapse Analytics Certification,Microsoft,Yes,Verified,28-07-2024,30-07-2024,2,2024-07,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT337,E10037,C1402_CR,Cloud Native Architecture Certificate,Coursera,No,Pending,null,null,null,null,FALSE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT038,E10038,C1251_MS,Azure OpenAI Architect Certification,Microsoft,Yes,Verified,02-08-2024,05-08-2024,3,2024-08,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT338,E10038,C1432_CR,Enterprise Agile Frameworks Certificate,Coursera,Yes,Verified,02-11-2024,05-11-2024,3,2024-11,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT039,E10039,C1201_MS,Azure Cloud Administration Certification,Microsoft,Yes,Verified,08-08-2024,10-08-2024,2,2024-08,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT339,E10039,C1302_CR,Healthcare Analytics Certificate,Coursera,Yes,Verified,05-11-2024,08-11-2024,3,2024-11,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT340,E10040,C1002_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,08-11-2024,10-11-2024,2,2024-11,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT440,E10040,C1401_CR,Cloud Native Architecture Certificate,Coursera,Yes,Verified,12-08-2024,15-08-2024,3,2024-08,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT341,E10041,C1012_DB,PySpark Basic Certification,Databricks,Yes,Verified,12-11-2024,15-11-2024,3,2024-11,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT041,E10041,C1431_CR,Enterprise Agile Frameworks Certificate,Coursera,Yes,Verified,18-08-2024,20-08-2024,2,2024-08,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT342,E10042,C1022_DB,Delta Lake Core Certification,Databricks,Yes,Verified,18-11-2024,20-11-2024,2,2024-11,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT042,E10042,C1301_CR,Healthcare Analytics Certificate,Coursera,Yes,Verified,22-08-2024,25-08-2024,3,2024-08,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT043,E10043,C1001_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,28-08-2024,30-08-2024,2,2024-08,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT343,E10043,C1152_MS,Azure Data Fundamentals DP-900,Microsoft,Yes,Verified,22-11-2024,25-11-2024,3,2024-11,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT044,E10044,C1011_DB,PySpark Basic Certification,Databricks,Yes,Verified,02-09-2024,05-09-2024,3,2024-09,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT344,E10044,C1172_MS,Azure Data Factory Certification,Microsoft,Yes,Verified,28-11-2024,30-11-2024,2,2024-11,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT045,E10045,C1021_DB,Delta Lake Core Certification,Databricks,Yes,Verified,08-09-2024,10-09-2024,2,2024-09,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT345,E10045,C1252_MS,Azure OpenAI Architect Certification,Microsoft,No,Pending,null,null,null,null,FALSE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT446,E10046,C1151_MS,Azure Data Fundamentals DP-900,Microsoft,Yes,Verified,12-09-2024,15-09-2024,3,2024-09,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT346,E10046,C1202_MS,Azure Cloud Administration Certification,Microsoft,Yes,Verified,05-12-2024,08-12-2024,3,2024-12,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT047,E10047,C1171_MS,Azure Data Factory Certification,Microsoft,Yes,Verified,18-09-2024,20-09-2024,2,2024-09,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT347,E10047,C1402_CR,Cloud Native Architecture Certificate,Coursera,Yes,Verified,08-12-2024,10-12-2024,2,2024-12,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT048,E10048,C1251_MS,Azure OpenAI Architect Certification,Microsoft,Yes,Verified,22-09-2024,25-09-2024,3,2024-09,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT348,E10048,C1432_CR,Enterprise Agile Frameworks Certificate,Coursera,Yes,Verified,12-12-2024,15-12-2024,3,2024-12,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT049,E10049,C1261_MS,Cognitive Services Certification,Microsoft,Yes,Verified,28-09-2024,30-09-2024,2,2024-09,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT349,E10049,C1302_CR,Healthcare Analytics Certificate,Coursera,Yes,Verified,18-12-2024,20-12-2024,2,2024-12,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT350,E10050,C1002_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,22-12-2024,25-12-2024,3,2024-12,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT050,E10050,C1201_MS,Azure Cloud Administration Certification,Microsoft,Yes,Verified,02-10-2024,05-10-2024,3,2024-10,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT351,E10051,C1022_DB,Delta Lake Core Certification,Databricks,Yes,Verified,28-12-2024,30-12-2024,2,2024-12,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT051,E10051,C1401_CR,Cloud Native Architecture Certificate,Coursera,Yes,Verified,08-10-2024,10-10-2024,2,2024-10,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT352,E10052,C1032_DB,Databricks SQL Certification,Databricks,Yes,Verified,02-01-2025,05-01-2025,3,2025-01,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT052,E10052,C1421_CR,Cybersecurity Advanced Certificate,Coursera,Yes,Verified,12-10-2024,15-10-2024,3,2024-10,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT353,E10053,C1152_MS,Azure Data Fundamentals DP-900,Microsoft,No,Pending,null,null,null,null,FALSE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT453,E10053,C1431_CR,Enterprise Agile Frameworks Certificate,Coursera,Yes,Verified,18-10-2024,20-10-2024,2,2024-10,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT354,E10054,C1162_MS,Azure Synapse Analytics Certification,Microsoft,Yes,Verified,12-01-2025,15-01-2025,3,2025-01,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT054,E10054,C1301_CR,Healthcare Analytics Certificate,Coursera,Yes,Verified,22-10-2024,25-10-2024,3,2024-10,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT355,E10055,C1252_MS,Azure OpenAI Architect Certification,Microsoft,Yes,Verified,18-01-2025,20-01-2025,2,2025-01,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT055,E10055,C1321_CR,BFSI Risk Management Certificate,Coursera,Yes,Verified,28-10-2024,30-10-2024,2,2024-10,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT056,E10056,C1001_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,02-11-2024,05-11-2024,3,2024-11,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT356,E10056,C1202_MS,Azure Cloud Administration Certification,Microsoft,Yes,Verified,22-01-2025,25-01-2025,3,2025-01,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT057,E10057,C1021_DB,Delta Lake Core Certification,Databricks,Yes,Verified,08-11-2024,10-11-2024,2,2024-11,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT357,E10057,C1402_CR,Cloud Native Architecture Certificate,Coursera,Yes,Verified,28-01-2025,30-01-2025,2,2025-01,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT058,E10058,C1041_DB,Data Engineering on Databricks Certification,Databricks,Yes,Verified,12-11-2024,15-11-2024,3,2024-11,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT358,E10058,C1432_CR,Enterprise Agile Frameworks Certificate,Coursera,Yes,Verified,02-02-2025,05-02-2025,3,2025-02,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT459,E10059,C1151_MS,Azure Data Fundamentals DP-900,Microsoft,Yes,Verified,18-11-2024,20-11-2024,2,2024-11,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT359,E10059,C1302_CR,Healthcare Analytics Certificate,Coursera,Yes,Verified,05-02-2025,08-02-2025,3,2025-02,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT360,E10060,C1002_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,08-02-2025,10-02-2025,2,2025-02,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT060,E10060,C1161_MS,Azure Synapse Analytics Certification,Microsoft,Yes,Verified,22-11-2024,25-11-2024,3,2024-11,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT361,E10061,C1012_DB,PySpark Basic Certification,Databricks,No,Pending,null,null,null,null,FALSE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT061,E10061,C1251_MS,Azure OpenAI Architect Certification,Microsoft,Yes,Verified,28-11-2024,30-11-2024,2,2024-11,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT362,E10062,C1022_DB,Delta Lake Core Certification,Databricks,Yes,Verified,18-02-2025,20-02-2025,2,2025-02,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT062,E10062,C1201_MS,Azure Cloud Administration Certification,Microsoft,Yes,Verified,02-12-2024,05-12-2024,3,2024-12,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT363,E10063,C1152_MS,Azure Data Fundamentals DP-900,Microsoft,Yes,Verified,22-02-2025,25-02-2025,3,2025-02,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT063,E10063,C1401_CR,Cloud Native Architecture Certificate,Coursera,Yes,Verified,08-12-2024,10-12-2024,2,2024-12,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT364,E10064,C1172_MS,Azure Data Factory Certification,Microsoft,Yes,Verified,28-02-2025,02-03-2025,2,2025-02,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT064,E10064,C1431_CR,Enterprise Agile Frameworks Certificate,Coursera,Yes,Verified,12-12-2024,15-12-2024,3,2024-12,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT365,E10065,C1252_MS,Azure OpenAI Architect Certification,Microsoft,Yes,Verified,05-03-2025,08-03-2025,3,2025-03,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT065,E10065,C1301_CR,Healthcare Analytics Certificate,Coursera,Yes,Verified,18-12-2024,20-12-2024,2,2024-12,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT466,E10066,C1001_DB,Databricks Lakehouse Fundamentals Certification,Databricks,Yes,Verified,22-12-2024,25-12-2024,3,2024-12,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT366,E10066,C1202_MS,Azure Cloud Administration Certification,Microsoft,Yes,Verified,08-03-2025,10-03-2025,2,2025-03,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
CERT067,E10067,C1011_DB,PySpark Basic Certification,Databricks,Yes,Verified,28-12-2024,30-12-2024,2,2024-12,TRUE,2026-06-09T17:53:11.193Z,2026-06-10T12:08:51.709Z
